CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,LAT,LONG
50015178,LA NUEVA ESPANA RESTAURANT,MANHATTAN,606,W 207TH ST,10034,2125670500,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/1/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,15,B,40.8673176,-73.9212396
50012808,CALLE DAO,MANHATTAN,38,W 39TH ST,10018,9172927233,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/22/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,23,,40.7521591,-73.9842216
41666383,BOCCA DI BACCO,MANHATTAN,167,9 AVENUE,10011,2129898400,Italian,10/15/2013,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,40.7445454,-74.0031004
50042711,CHAZZ PALMINTERI RISTORANTE ITALIANO,MANHATTAN,890,2ND AVE,10017,9175180659,Italian,11/24/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.753185,-73.9693632
40388091,MASAWA,MANHATTAN,1239,AMSTERDAM AVENUE,10027,2126630505,Ethiopian,10/5/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,18,B,40.8097806,-73.9585846
41390867,RIN THAI CUISINE,MANHATTAN,265,WEST   23 STREET,10011,2126752988,Thai,12/3/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19,,40.7452537,-73.9976584
50001900,NEXT BAR & LOUNGE,MANHATTAN,43,MOTT STREET,10013,6464769135,Chinese,6/19/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,40.7152328,-73.99899
41509082,DAHLIA'S,MANHATTAN,300,EAST    5 STREET,10003,2124755939,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/20/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,36,C,40.7265642,-73.988749
50052976,ZON BAKERY & CAFE,MANHATTAN,1275A,SAINT NICHOLAS AVE,10033,7183002642,Bakery,11/22/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,40.8446285,-73.9373917
41682041,NY FRESH PIZZA,MANHATTAN,787,9 AVENUE,10019,2125862600,Pizza,12/30/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,40.7651238,-73.9880642
41382973,DUNKIN' DONUTS,MANHATTAN,466,10 AVENUE,10018,2125647613,Donuts,4/30/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,16,,40.7560109,-73.9977229
41640400,KUMO SUSHI,MANHATTAN,282,BLEECKER STREET,10014,2123660808,Japanese,3/22/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,14,,40.73175,-74.0035442
50039833,DYLAN'S CANDY BAR,MANHATTAN,33,UNION SQ W,10003,6464192000,CafÃ©/Coffee/Tea,9/29/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,31,,40.7368501,-73.9909474
40961447,MESON SEVILLA RESTAURANT,MANHATTAN,344,WEST   46 STREET,10036,2122625890,Spanish,11/17/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,20,Z,40.760276,-73.989693
41707087,TRIONA'S BAR RESTAURANT,MANHATTAN,192,3 AVENUE,10003,6464484671,Irish,2/3/2014,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,11,A,40.7355354,-73.9859271
40386747,ARNO RISTORANTE,MANHATTAN,141,WEST   38 STREET,10018,2129447420,Italian,10/22/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22,,40.7533125,-73.9879785
40998515,HEARTH,MANHATTAN,403,EAST   12 STREET,10009,6466021300,American,10/5/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,40.7300263,-73.9831883
50014233,Q'KACHAPA,MANHATTAN,1552,SAINT NICHOLAS AVE,10040,2129282898,Spanish,4/6/2016,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,40.8533597,-73.9305378
40990997,WENDY'S,MANHATTAN,335,5 AVENUE,10016,2128893899,Hamburgers,7/12/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,17,B,40.747743,-73.9847422
50004221,INSOMNIA COOKIES,MANHATTAN,116,MACDOUGAL ST,10012,8776326654,Bakery,4/16/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,40,,40.7296935,-74.000472
41225183,PARADIS TO GO,MANHATTAN,114,4 AVENUE,10003,6464166709,American,8/6/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,40.7326746,-73.9902689
41026002,ABIKO CURRY,MANHATTAN,2,WEST   32 STREET,10001,2126950888,Japanese,5/27/2014,Violations were cited in the following area(s).,03B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.",Critical,12,A,40.7472085,-73.9861836
41271436,MATSUNOYA,MANHATTAN,131,EAST 45 STREET,10017,6466928143,Japanese,3/11/2015,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,30,,40.7533393,-73.9741876
41629609,TANGS JIANG RESTAURANT,MANHATTAN,306,SAINT NICHOLAS AVENUE,10027,2128645179,Chinese,1/7/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,19,,40.8110221,-73.9524148
50010495,BLUE 9 BURGER,MANHATTAN,92,3RD AVE,10003,2129790053,Hamburgers,8/15/2014,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,40.7322865,-73.988252
41071308,RADIO CITY MUSIC HALL,MANHATTAN,1260,AVENUE OF THE AMERICAS,10020,2124857200,American,6/22/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,40.7599766,-73.9799747
40709530,HALLO BERLIN,MANHATTAN,626,10 AVENUE,10036,2129771944,German,5/30/2013,No violations were recorded at the time of this inspection.,,,Not Applicable,,,40.7611283,-73.9940432
41061112,T & R PIZZA,MANHATTAN,411,AMSTERDAM AVENUE,10024,2127874093,Pizza,2/5/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,40.7834858,-73.9777797
50012014,KENNEDY CHICKEN & PIZZA,MANHATTAN,2409,2ND AVE,10035,2122892596,American,3/7/2016,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,17,,40.8019277,-73.9345466
40926520,HAKUBAI and JAZZ at KITANO,MANHATTAN,66,PARK AVENUE,10016,2128857000,Japanese,10/4/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27,,40.7495879,-73.9799716
50001948,BLOOM'S TAVERN,MANHATTAN,208,EAST 58 STREET,10022,2123089400,American,8/13/2014,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,,40.7605121,-73.9665718
41144948,"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,815,10 AVENUE,10019,6466614262,Donuts,11/16/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,40.7675883,-73.990066
50014226,EL GRAN VALLE IV RESTAURANT,MANHATTAN,1944,AMSTERDAM AVE,10032,2123687100,Spanish,8/19/2014,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,19,,40.8326131,-73.942514
41715982,MUI KITCHEN & BAR,MANHATTAN,10,WEST   32 STREET,10001,2122441900,Asian,9/22/2015,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,29,,40.7473402,-73.9864501
40600619,BURGER KING,MANHATTAN,16,BEAVER STREET,10004,2124831051,Hamburgers,8/19/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,24,,40.7048083,-74.0125066
41092609,10TH AVENUE COOKSHOP,MANHATTAN,156,10 AVENUE,10011,2129244440,American,10/9/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,17,,40.745519,-74.0054833
41477202,CLAY,MANHATTAN,25,WEST   14 STREET,10011,2122069200,American,10/8/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,27,,40.7368588,-73.9948591
50008600,ST NICHOLAS FOOD,MANHATTAN,285,SAINT NICHOLAS AVE,10027,2129239300,Spanish,8/10/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,28,,40.8105141,-73.9532656
41564898,MCDONALD'S,MANHATTAN,688,8 AVENUE,10036,2122213863,Hamburgers,7/18/2013,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9,A,40.7580906,-73.9888563
50000255,CHINA SUN,MANHATTAN,1270A,ST NICHOLAS AVE,10033,2129280800,Chinese,9/8/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,40.8443933,-73.9368744
50007871,YUM YUM BANGKOK 3,MANHATTAN,658,9TH AVE,10036,2129569415,Thai,5/19/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,21,,40.7608035,-73.9906251
41288739,TERMINAL 5,MANHATTAN,610,WEST   56 STREET,10019,2125826600,American,11/12/2014,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,40.7696942,-73.9927226
40368271,CHERRY TAVERN,MANHATTAN,441,EAST    6 STREET,10009,2127771448,American,5/19/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,B,40.7258174,-73.9843122
50011690,MEXICUE,MANHATTAN,1440,BROADWAY,10018,4802315637,Mexican,11/25/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,12,A,40.754585,-73.9865279
50007580,JIMMY,MANHATTAN,27,GRAND ST,10013,2122019118,American,2/16/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,20,,40.7227053,-74.0047546
40836365,NEPTUNE POLISH RESTAURANT,MANHATTAN,192,1 AVENUE,10009,2127774163,Polish,5/15/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12,A,40.7296869,-73.9834669
41557716,KITARO,MANHATTAN,510,AMSTERDAM AVENUE,10024,2127879008,Chinese/Japanese,5/12/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26,B,40.7868909,-73.9759621
40571128,THE HEIGHTS BAR & GRILL,MANHATTAN,2867,BROADWAY,10025,2128667035,Tex-Mex,5/21/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,,40.8051754,-73.9663837
50006153,BLUE DOG CAFE,MANHATTAN,155,W 56TH ST,10019,2124592520,CafÃ©/Coffee/Tea,11/2/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25,,40.764718,-73.9797698
50005885,APNA MASALA INDIAN CUISINE,MANHATTAN,344,E 6TH ST,10003,9172999478,Mexican,8/9/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,,40.7263971,-73.9864729
41550237,AOA BAR & GRILL,MANHATTAN,6,YORK STREET,10013,2129251600,American,9/16/2013,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,29,,40.7207976,-74.0056194
50054280,,MANHATTAN,785,LEXINGTON AVE,10065,2123634166,Other,1/1/1900,,,,Not Applicable,,,40.7635351,-73.9669572
50033369,CAFFE BENE,MANHATTAN,816,BROADWAY,10003,2124321688,CafÃ©/Coffee/Tea,9/26/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19,,40.7327618,-73.9909356
50018324,SHELLEY'S KITCHEN,MANHATTAN,90,PARK AVE,10016,2126828808,American,9/26/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,17,,40.7507441,-73.9793762
50003720,LITTLE ITALY PIZZA,MANHATTAN,217,E 86TH ST,10028,2124103311,Pizza,8/13/2014,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,9,A,40.77867,-73.9528459
50015197,EAST SEAFOOD RESTAURANT,MANHATTAN,17,DIVISION ST,10002,2122261888,Chinese,6/22/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,19,B,40.7139371,-73.9966084
41573306,RED MANGO,MANHATTAN,111,FULTON STREET,10038,2123123120,American,9/3/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,40.7099264,-74.0065609
50044189,FORTY CARROTS,MANHATTAN,2085,BROADWAY,10023,2126343190,American,8/9/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,40.7790344,-73.9822168
41294954,DEAN & DELUCA,MANHATTAN,1,ROCKEFELLER PLAZA,10020,2126641372,CafÃ©/Coffee/Tea,10/30/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,40.7580616,-73.9788647
40511194,SILVER SPURS/MOLCAJATE TAQUERIA,MANHATTAN,490494,LA GUARDIA PLACE,10012,2122282333,American,3/30/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,40.7280718,-73.9989723
41490282,LE PARISIEN,MANHATTAN,163,EAST   33 STREET,10016,2128895489,French,7/9/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,15,,40.7454468,-73.9791196
41489737,PATSY'S PIZZERIA,MANHATTAN,1279,1 AVENUE,10065,2126931000,Italian,6/9/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,40,,40.765876,-73.9577459
41183402,RUBEN'S EMPANADAS,MANHATTAN,77,PEARL STREET,10004,2123616323,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/16/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,40.7040451,-74.0104852
41636692,F & F 99 CENTS PIZZA,MANHATTAN,153,AVENUE C,10009,2122535399,Pizza,3/10/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,40.7257008,-73.9779562
41181327,DIRTY BIRD TO-GO,MANHATTAN,204,WEST   14 STREET,10011,2126204836,Chicken,4/16/2015,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,11,A,40.7386228,-74.0004617
41683066,TIR NA NOG BAR AND GRILL,MANHATTAN,315,W 39TH ST,10018,2127609072,Irish,9/9/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,24,,40.7559712,-73.9920452
41204942,CACIO E VINO,MANHATTAN,80,2 AVENUE,10003,2122283269,Italian,10/11/2016,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,44,,40.7263882,-73.9888896
50002768,VIVA,MANHATTAN,65,SHERMAN AVENUE,10040,2123044780,Tapas,3/26/2014,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,40.8630987,-73.9266496
40987470,GROTTA AZZURRA,MANHATTAN,177,MULBERRY STREET,10013,2129258775,Italian,6/16/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,,40.7203258,-73.9970444
41462152,ARGO TEA CAFE,MANHATTAN,949,BROADWAY,10010,6467557262,CafÃ©/Coffee/Tea,6/4/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,9,A,40.7409957,-73.9896776
41177613,YAMA,MANHATTAN,308,EAST   49 STREET,10017,2123553370,Japanese,5/29/2013,Violations were cited in the following area(s).,10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",Not Critical,19,B,40.7538511,-73.9684913
50000803,LE PAIN QUOTIDIEN,MANHATTAN,1592,1ST AVE,10028,6466813110,American,10/16/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,40.774701,-73.9505889
40933602,PIZZA PETE'S,MANHATTAN,528,COLUMBUS AVENUE,10024,2127873153,Pizza,10/7/2013,Violations were cited in the following area(s).,16A,"A food containing artificial trans fat, with 0.5 grams or more of trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item, or served.",Not Critical,,,40.7862402,-73.9725922
41670486,JAPAS 38,MANHATTAN,9,EAST   38 STREET,10016,2126794040,Japanese,6/9/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,20,,40.7507322,-73.981699
41537020,83 KIEN TUONG RESTAURANT,MANHATTAN,83,CHRYSTIE STREET,10002,2129662878,Chinese,7/12/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,24,,40.7174484,-73.9945158
41255436,EL PORTON BAR & RESTAURANT,MANHATTAN,3151,BROADWAY,10027,2126657338,Mexican,12/11/2014,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,10,A,40.814497,-73.9596275
50001400,FARAFINA CAFE AND LOUNGE,MANHATTAN,1813,AMSTERDAM AVE,10031,2122812445,Caribbean,3/27/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,40.828147,-73.9451
50000095,NEW JING HUI RESTAURANT,MANHATTAN,255,W. 148TH ST,10039,2122838118,Chinese,1/8/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,19,,40.8247261,-73.9401149
41697900,EASY CORNER RESTAURANT & GRILL,MANHATTAN,101,WEST  136 STREET,10030,2122341212,Caribbean,7/10/2014,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,40.815057,-73.9406893
41405148,LUCE RESTAURANT & ENOTECA,MANHATTAN,2014,BROADWAY,10023,2127241400,Italian,5/6/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,21,,40.7758988,-73.9818528
41639463,CAFE 47,MANHATTAN,47,WEST   66 STREET,10023,2124564274,American,8/22/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,40.7731855,-73.9798032
41497864,MILLESIME,MANHATTAN,92,MADISON AVENUE,10016,2128897100,American,10/8/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21,,40.7445722,-73.9856336
50012993,BANK OF NOVA SCOTIA CAFE,MANHATTAN,250,VESEY ST,10281,2122255223,American,9/22/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,40.714167,-74.016111
